Period,Date,Long Date,Open,High,Low,Close,Upper Trend Channel,Trend Channel Pivot,Lower Trend Channel,Up Trends,New Uptrends,Down Trends,New Downtrends,Total Component Volume,Advances,Declines,Advancing Volume,Declining Volume,New Highs,New Lows,Issues Traded,Issues Unchanged,% above 200MA,% above 30MA,% above 18MA,% above 9MA,% above 4MA,Total Stks above 200MA,Total Stks below 200MA,Total Stks equal 200MA,Total Stks above 30MA,Total Stks below 30MA,Total Stks equal 30MA,Total Stks above 18MA,Total Stks below 18ma,Total Stks equal 18MA,Total Stks above 9MA,Total Stks below 9MA,Total Stks equal 9MA,Total Stks above 4MA,Total Stks below 4MA,Total Stks equal 4MA,New Highs - Quarter,New Lows - Quarter,New 1st Day Highs,New 1st Day Lows,New 1st Day Highs - Quarter,New 1st Day Lows - Quarter,Equal Weight Open Px,Equal Weight High Px,Equal Weight Low Px,Equal Weight Close Px,ETF Trade Volume,% above 50MA,Total Stks above 50MA,Total Stks below 50MA,Total Stks equal 50MA,Total Constituent Price Gains,Total Constituent Price Losses,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15
D,19900102,1/2/90,2753.40991,2810.1499,2740.3999,2810.1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900103,1/3/90,2808.22998,2822.94995,2799.06006,2809.72998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900104,1/4/90,2809.72998,2815.48999,2772.61011,2796.08008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900105,1/5/90,2796.07007,2802.05005,2769.62012,2773.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900108,1/8/90,2773.25,2798.41992,2762.15991,2794.37012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900109,1/9/90,2794.58008,2802.8999,2766,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900110,1/10/90,2766.20996,2768.12988,2729.31006,2750.63989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900111,1/11/90,2750.63989,2774.73999,2750.63989,2760.66992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900112,1/12/90,2760.87988,2760.87988,2682.81006,2689.20996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,19900115,1/15/90,2689.20996,2691.55005,2666.6001,2669.37012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
