REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PA0006836	DISTRIBUTOR	ACE SURGICAL SUPPLY CO INC	null	1034 PEARL STREET	null	BROCKTON	MA	2301	PLYMOUTH	BT3484653	PRACTITIONER	TABRIZI, HAMID R DMD	null	389 MAIN STREET, SUITE 404	null	MALDEN	MA	2148	MIDDLESEX	S	9193	00406036301	HYDROCODONE	1.0	null	null	null	null	null	12262012	0.6054	100.0	64	HYDROCODONE BIT/ACETA 10MG/500MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	ACE Surgical Supply Co Inc	10.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BA9740019	RETAIL PHARMACY	APOTHECARY SHOP DEER VALLEY	null	23620 N 20TH DR	#12	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051400	HYDROCODONE	4.0	null	null	null	null	null	03112009	0.12108	40.0	52	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	40.0	null	null	null	null	null	11252008	3.6324	1200.0	119	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634078371	HYDROCODONE	20.0	null	null	null	null	null	06122009	2.7243	600.0	34	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	10.0	null	null	null	null	null	10022009	0.9081	300.0	19	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	20.0	null	null	null	null	null	03232010	1.8162	600.0	73	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	5.0	null	null	null	null	null	10112007	0.227025	75.0	58	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10.0	null	null	null	null	null	01112008	0.45405	150.0	79	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10.0	null	null	null	null	null	07142008	0.45405	150.0	65	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10.0	null	null	null	null	null	12052012	0.45405	150.0	5	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BK7485863	PRACTITIONER-DW/275	KHOURY, MUFID MD	null	6220 W BELL ROAD SUITE 100	null	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051480	HYDROCODONE	10.0	null	null	null	null	null	07242012	0.6054	200.0	64	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BL2528404	PRACTITIONER	LEDERMAN, EVAN S MD	null	2222 E. HIGHLAND AVE.	SUITE 300	PHOENIX	AZ	85016	MARICOPA	S	9193	12634078371	HYDROCODONE	10.0	null	null	null	00000771	null	01072008	1.36215	300.0	53	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BN9327859	PRACTITIONER	NUCATOLA, DEBORAH L	null	5400 RALSTON STREET	null	VENTURA	CA	93003	VENTURA	S	9193	12634051400	HYDROCODONE	20.0	null	null	null	null	null	02092007	0.6054	200.0	30	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634051471	HYDROCODONE	40.0	null	null	null	null	null	09122007	3.6324	1200.0	68	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634051471	HYDROCODONE	20.0	null	null	null	null	null	11072008	1.8162	600.0	23	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634078371	HYDROCODONE	20.0	null	null	null	null	null	10122009	2.7243	600.0	51	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS7305039	PRACTITIONER	SAWYER, JEFFRY S MD	null	5615 S SOSSAMAN RD	null	MESA	AZ	85212	MARICOPA	S	9193	12634078371	HYDROCODONE	10.0	null	null	null	null	null	02042012	1.36215	300.0	16	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BS9061336	PRACTITIONER-DW/275	SLOAN, RICK MICHAEL WESLEY, MD	COMPASSIONATE CARE CENTERS LLC	3201 WEST PEORIA AVENUE	SUITE D805	PHOENIX	AZ	85029	MARICOPA	S	9193	12634051480	HYDROCODONE	10.0	null	null	null	null	null	01172011	0.6054	200.0	48	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BT6145937	PRACTITIONER	TORRES, JOHN EDUARDO MD	COMPLETE EMERGENCY CARE PUEBLO LLC	2035 S. PUEBLO BLVD	null	PUEBLO	CO	81005	PUEBLO	S	9193	12634051485	HYDROCODONE	10.0	null	null	null	null	null	01122009	0.45405	150.0	30	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051496	HYDROCODONE	4.0	null	null	null	null	null	11052009	0.072648	24.0	24	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051496	HYDROCODONE	3.0	null	null	null	null	null	09152010	0.054486	18.0	74	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5.0
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	FA1240592	RETAIL PHARMACY	AVELLA OF DEER VALLEY	null	23620 N 20TH DR #12	null	PHOENIX	AZ	85085	MARICOPA	S	9193	12634084959	HYDROCODONE	3.0	null	null	null	22870965	null	12092010	0.408645	90.0	44	HYDROCODONE BITARTRATE & ACETA 7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
