pickup_community_area,dropoff_community_area,trips
14,19,2107
14,24,5370
29,29,2759
29,25,313
41,44,1693
41,71,608
41,35,3672
41,65,94
54,50,3
3,20,943
3,58,234
3,29,429
5,32,35716
46,67,35
33,28,201415
33,24,32727
8,3,316526
8,43,7771
8,35,44560
8,34,56481
8,60,31263
8,4,110122
8,1,70134
8,55,110
7,33,47106
28,28,1394109
28,7,309580
28,76,159235
6,14,30245
28,48,547
28,60,18829
28,77,31942
28,15,5895
28,58,2991
28,44,2005
31,56,2906
31,1,304
31,65,104
22,7,113742
24,4,27569
2,6,8923
2,50,11
2,42,27
66,64,55
66,67,135
63,41,95
63,76,66
30,26,60
64,56,1486
11,3,3512
11,77,2788
11,13,1450
11,2,1400
11,24,916
76,31,6072
76,7,255075
76,23,4167
76,30,1436
76,26,222
55,32,66
39,77,145
50,49,81
36,21,12
36,36,3496
44,46,330
44,29,24
69,28,834
69,46,102
40,37,163
33,14,1058
33,55,18
33,57,256
33,51,149
32,32,5169947
49,69,156
49,33,95
32,61,5997
32,57,2049
32,71,1684
32,72,2248
32,68,2284
32,18,387
7,16,21352
34,31,2259
34,59,593
60,70,31
60,37,45
60,77,105
73,33,83
7,15,5366
7,31,7998
7,63,205
7,67,94
7,36,290
24,76,62455
6,33,50366
61,67,102
61,68,133
61,28,1467
61,71,57
61,34,107
77,1,69417
67,67,2037
1,8,25011
1,15,886
59,61,407
24,2,5647
5,31,1131
5,56,6529
5,17,632
4,16,12395
4,33,1867
58,59,1804
58,61,208
22,70,75
22,61,297
23,3,471
23,29,211
16,58,113
16,44,60
62,65,106
57,58,219
65,16,19
26,20,53
20,22,1985
12,15,391
12,9,91
12,1,189
15,76,5101
56,69,778
56,41,36449
56,65,3061
56,42,4397
56,17,464
56,46,367
56,20,386
10,3,254
17,25,184
17,6,226
14,42,22
14,58,78
29,39,24
41,49,582
3,71,103
47,51,9
72,30,2
63,67,53
30,44,24
30,23,166
48,41,203
42,52,20
42,44,344
